slide_id,from,to,radius,from_count,to_count,from_with,within_mean
Set12_20-6plex,CK+,CD8+,10,2323,101,33,0.015927679724494187
Set12_20-6plex,CK+,CD8+,25,2323,101,250,0.13646147223417995
Set12_20-6plex,CK+,CD68+,10,2323,557,99,0.04950495049504951
Set12_20-6plex,CK+,CD68+,25,2323,557,647,0.6138613861386139
Set12_20-6plex,CK+,CD8+,10,2367,123,71,0.033375580904098014
Set12_20-6plex,CK+,CD8+,25,2367,123,528,0.27629911280101394
Set12_20-6plex,CK+,CD68+,10,2367,87,47,0.020278833967046894
Set12_20-6plex,CK+,CD68+,25,2367,87,301,0.1596958174904943
Set12_20-6plex,CK+,CD8+,10,3799,79,36,0.009739405106607002
Set12_20-6plex,CK+,CD8+,25,3799,79,284,0.08528560147407212
Set12_20-6plex,CK+,CD68+,10,3799,344,54,0.017372992892866545
Set12_20-6plex,CK+,CD68+,25,3799,344,534,0.25164516978152146
Set4_1-6plex,CK+,CD8+,10,1731,497,142,0.10167533217793183
Set4_1-6plex,CK+,CD8+,25,1731,497,747,0.9601386481802426
Set4_1-6plex,CK+,CD68+,10,1731,599,164,0.10860774119006354
Set4_1-6plex,CK+,CD68+,25,1731,599,882,1.0300404390525708
Set4_1-6plex,CK+,CD8+,10,1434,349,111,0.08856345885634588
Set4_1-6plex,CK+,CD8+,25,1434,349,713,0.8556485355648535
Set4_1-6plex,CK+,CD68+,10,1434,112,15,0.011157601115760111
Set4_1-6plex,CK+,CD68+,25,1434,112,229,0.20920502092050208
Set4_1-6plex,CK+,CD8+,10,2257,228,91,0.048294195835179445
Set4_1-6plex,CK+,CD8+,25,2257,228,543,0.3938856889676562
Set4_1-6plex,CK+,CD68+,10,2257,417,109,0.05316792202038104
Set4_1-6plex,CK+,CD68+,25,2257,417,664,0.6056712450155073
Set8_11-6plex,CK+,CD8+,10,2491,58,7,0.0028101164191087916
Set8_11-6plex,CK+,CD8+,25,2491,58,72,0.029706945002007226
Set8_11-6plex,CK+,CD68+,10,2491,590,96,0.04576475311120032
Set8_11-6plex,CK+,CD68+,25,2491,590,726,0.6037735849056604
Set8_11-6plex,CK+,CD8+,10,1100,197,69,0.06727272727272728
Set8_11-6plex,CK+,CD8+,25,1100,197,499,0.6581818181818182
Set8_11-6plex,CK+,CD68+,10,1100,199,11,0.01
Set8_11-6plex,CK+,CD68+,25,1100,199,313,0.4290909090909091
Set8_11-6plex,CK+,CD8+,10,1861,259,47,0.027941966684578184
Set8_11-6plex,CK+,CD8+,25,1861,259,261,0.1826974744760881
Set8_11-6plex,CK+,CD68+,10,1861,469,63,0.037614185921547555
Set8_11-6plex,CK+,CD68+,25,1861,469,445,0.4798495432563138
