slide_id,source,phenotype1,phenotype2,total1,total2,p1_touch_p2,p2_touch_p1,touch_pairs
Set12_20-6plex,"Set12_20-6plex_[14146,53503]",CD8+,CK+,101,2323,27,58,63
Set12_20-6plex,"Set12_20-6plex_[14146,53503]",CD8+,CD68+,101,557,22,29,31
Set12_20-6plex,"Set12_20-6plex_[15491,58698]",CD8+,CK+,123,2367,67,138,151
Set12_20-6plex,"Set12_20-6plex_[15491,58698]",CD8+,CD68+,123,87,8,6,8
Set12_20-6plex,"Set12_20-6plex_[17241,54367]",CD8+,CK+,79,3799,28,69,73
Set12_20-6plex,"Set12_20-6plex_[17241,54367]",CD8+,CD68+,79,344,19,21,22
Set4_1-6plex,"Set4_1-6plex_[11472,51360]",CD8+,CK+,497,1731,127,210,258
Set4_1-6plex,"Set4_1-6plex_[11472,51360]",CD8+,CD68+,497,599,122,133,163
Set4_1-6plex,"Set4_1-6plex_[15206,60541]",CD8+,CK+,349,1434,156,238,289
Set4_1-6plex,"Set4_1-6plex_[15206,60541]",CD8+,CD68+,349,112,28,24,32
Set4_1-6plex,"Set4_1-6plex_[16142,55840]",CD8+,CK+,228,2257,95,148,177
Set4_1-6plex,"Set4_1-6plex_[16142,55840]",CD8+,CD68+,228,417,48,48,56
Set8_11-6plex,"Set8_11-6plex_[13394,50883]",CD8+,CK+,58,2491,8,13,13
Set8_11-6plex,"Set8_11-6plex_[13394,50883]",CD8+,CD68+,58,590,28,39,40
Set8_11-6plex,"Set8_11-6plex_[14996,59221]",CD8+,CK+,197,1100,88,141,155
Set8_11-6plex,"Set8_11-6plex_[14996,59221]",CD8+,CD68+,197,199,23,24,26
Set8_11-6plex,"Set8_11-6plex_[17130,56449]",CD8+,CK+,259,1861,38,74,82
Set8_11-6plex,"Set8_11-6plex_[17130,56449]",CD8+,CD68+,259,469,57,61,70
